618,114,0
596,108,0
483,109,0
431,111,0
406,118,0
346,151,0
323,198,0
309,246,0
306,289,0
306,340,0
309,367,0
317,401,0
330,452,0
330,453,0
298,467,0
254,466,0
209,465,0
182,463,0
174,438,0
182,405,0
189,354,0
206,251,0
206,200,0
190,131,0
167,86,0
142,56,0
110,41,0
73,41,0
41,74,0
20,143,0
14,171,0
13,210,0
179,30,0
150,5,0
80,12,0
42,24,0
23,59,0
16,101,0
150,42,0
186,75,0
215,118,0
229,162,0
240,203,0
243,251,0
238,294,0
228,339,0
208,386,0
218,441,0
249,440,0
279,440,0
292,434,0
279,400,0
234,394,0
258,347,0
266,325,0
276,367,0
282,279,0
277,256,0
275,225,0
277,188,0
290,158,0
308,121,0
328,88,0
373,53,0
408,44,0
465,46,0
468,85,0
439,89,0
381,98,0
318,148,0
491,57,0
513,70,0
542,81,0
543,86,0
505,112,0
547,113,0
566,112,0
604,66,0
617,65,0
618,76,0
577,67,0
581,27,0
607,18,0
546,20,0
540,37,0
513,46,0
475,21,0
414,21,0
333,15,0
281,18,0
295,53,0
294,87,0
278,133,0
259,171,0
258,103,0
255,66,0
228,8,0
203,12,0
219,52,0
226,99,0
240,139,0
259,288,0
202,308,0
206,279,0
303,317,0
117,19,0
231,34,0
274,38,0
310,38,0
344,79,0
361,102,0
378,145,0
350,122,0
321,124,0
449,43,0
429,74,0
398,84,0
383,26,0
341,55,0
330,68,0
454,65,0
492,82,0
511,92,0
565,99,0
586,96,0
608,93,0
623,92,0
538,66,0
556,55,0
591,51,0
608,45,0
214,72,0
179,50,0
150,24,0
129,17,0
56,12,0
25,23,0
18,57,0
10,9,0
6,26,0
7,55,0
4,144,0
51,52,0
259,70,0
282,107,0
271,209,0
231,219,0
223,148,0
239,236,0
210,269,0
200,292,0
230,255,0
221,308,0
212,337,0
228,369,0
262,382,0
258,439,0
237,405,0
202,420,0
193,440,0
243,322,0
256,304,0
297,305,0
286,344,0
286,381,0
305,423,0
312,447,0
315,469,0
314,473,0
206,479,0
182,476,0
232,479,0
230,471,0
293,229,0
293,188,0
300,170,0
325,165,0
340,169,0
323,201,0
321,229,0
306,269,0
240,275,0
194,153,0
208,196,0
202,172,0
206,221,0
187,217,0
175,159,0
167,114,0
133,78,0
97,61,0
56,77,0
46,113,0
25,119,0
368,173,0
343,208,0
320,268,0
329,325,0
326,379,0
334,417,0
347,469,0
325,290,0
350,253,0
360,205,0
402,152,0
430,135,0
472,134,0
580,128,0
623,134,0
514,133,0
115,83,1
91,82,1
37,125,1
25,166,1
37,220,1
33,239,1
13,230,1
6,241,1
15,290,1
32,328,1
23,372,1
21,381,1
27,445,1
0,348,1
6,323,1
17,262,1
21,268,1
39,300,1
41,308,1
20,322,1
14,414,1
21,453,1
71,469,1
142,469,1
165,467,1
163,432,1
165,373,1
173,402,1
191,324,1
174,256,1
186,247,1
177,301,1
171,238,1
165,199,1
153,170,1
142,140,1
134,113,1
113,105,1
152,113,1
175,141,1
185,201,1
176,177,1
94,109,1
77,96,1
61,107,1
41,133,1
88,172,1
102,135,1
75,123,1
70,121,1
63,155,1
70,165,1
67,204,1
71,245,1
90,283,1
69,338,1
38,406,1
60,429,1
107,442,1
135,443,1
139,415,1
142,373,1
145,348,1
148,314,1
146,275,1
147,232,1
138,189,1
130,157,1
116,173,1
121,217,1
121,265,1
122,293,1
104,335,1
110,381,1
111,406,1
87,417,1
74,407,1
53,365,1
83,383,1
94,361,1
82,313,1
67,293,1
62,277,1
50,249,1
36,269,1
92,262,1
103,241,1
103,201,1
80,189,1
82,218,1
58,229,1
51,192,1
55,166,1
46,157,1
28,200,1
34,177,1
100,161,1
82,147,1
57,141,1
128,135,1
111,293,1
122,333,1
125,375,1
119,443,1
119,459,1
82,465,1
68,434,1
94,449,1
43,458,1
12,473,1
6,449,1
28,471,1
56,479,1
46,355,1
55,322,1
142,256,1
124,244,1
148,200,1
157,285,1
190,273,1
203,289,1
175,344,1
169,321,1
163,354,1
192,373,1
156,400,1
125,396,1
204,233,1
198,177,1
153,94,1
11,192,1
625,160,1
602,141,1
559,145,1
520,16,0
474,47,0
469,47,0
509,41,0
501,34,0
366,9,0
453,10,0
492,16,0
571,17,0
616,10,0
626,29,0
618,73,0
562,138,1
514,132,1
478,130,1
442,132,1
401,142,1
383,193,1
359,209,1
338,232,1
311,285,1
334,315,1
333,395,1
337,429,1
344,462,1
355,448,1
354,408,1
346,304,1
354,241,1
381,210,1
416,161,1
374,173,1
455,154,1
587,162,1
537,155,1
480,154,1
604,184,1
623,195,1
625,226,1
621,329,1
636,394,1
633,443,1
624,463,1
581,473,1
529,468,1
451,467,1
386,471,1
363,458,1
369,416,1
355,342,1
357,394,1
359,373,1
364,288,1
380,240,1
395,206,1
449,165,1
514,173,1
589,220,1
571,186,1
549,185,1
567,225,1
598,246,1
601,269,1
598,291,1
592,324,1
585,372,1
606,417,1
566,433,1
621,384,1
611,381,1
609,345,1
633,293,1
626,266,1
634,248,1
612,308,1
583,281,1
558,247,1
533,230,1
549,208,1
509,198,1
482,192,1
461,185,1
409,193,1
438,193,1
439,230,1
419,236,1
400,267,1
393,299,1
387,333,1
382,374,1
384,428,1
399,444,1
422,447,1
486,439,1
524,433,1
554,416,1
565,391,1
568,305,1
560,277,1
533,248,1
504,237,1
488,221,1
467,212,1
413,218,1
431,267,1
399,246,1
374,262,1
356,277,1
334,286,1
329,251,1
328,354,1
342,367,1
405,359,1
432,295,1
465,249,1
489,251,1
538,298,1
569,354,1
578,325,1
541,322,1
516,350,1
517,374,1
567,361,1
538,354,1
536,378,1
534,389,1
494,401,1
457,411,1
412,425,1
394,413,1
392,400,1
428,390,1
474,376,1
503,345,1
506,308,1
517,296,1
506,271,1
479,271,1
465,297,1
466,309,1
432,335,1
425,331,1
413,324,1
434,362,1
446,382,1
466,344,1
486,332,1
512,385,1
519,406,1
492,434,1
502,472,1
459,477,1
458,446,1
439,428,1
423,409,1
402,377,1
368,306,1
417,287,1
451,322,1
382,317,1
576,263,1
529,272,1
511,225,1
499,173,1
466,165,1
498,161,1
517,157,1
425,186,1
398,175,1
339,209,1
468,111,1
558,117,1
619,124,1
523,120,1
601,438,1
576,455,1
526,453,1
476,466,1
564,465,1
548,445,1
431,468,1
409,469,1
577,413,1
593,388,1
630,416,1
602,471,1
636,356,1
453,273,1
531,193,1
316,350,1
312,425,1
